,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
26,27,The Big Lez Show,2012,2019,9.2,,1817,"Animation, Adventure, Comedy",TV-MA,Animation
27,28,Norm Macdonald Live,2013,2017,9.2,,1526,"Comedy, Talk-Show",,Comedy
28,29,Casey Neistat Vlog,2015,,9.2,,1278,"Documentary, Reality-TV",,Documentary
29,30,Rick and Morty,2013,,9.1,23 ,537222,"Animation, Adventure, Comedy",TV-14,Animation
30,31,Sherlock,2010,2017,9.1,88 ,936597,"Crime, Drama, Mystery",TV-14,Crime
31,32,The Twilight Zone,1959,1964,9.1,51 ,85582,"Drama, Fantasy, Horror",TV-PG,Drama
32,33,Penguinz0,2007,,9.1,,1361,"Comedy, Talk-Show",TV-MA,Comedy
33,34,UNHhhh,2016,,9.1,10 ,1654,"Comedy, Talk-Show",,Comedy
34,35,VideoGameDunkey,2010,,9.1,,1557,Comedy,TV-14,Comedy
35,36,Madventures,2002,,9.1,35 ,2615,Documentary,,Documentary
36,37,The Office,2005,2013,9.0,22 ,617085,Comedy,TV-14,Comedy
37,38,Clarkson's Farm,2021,,9.0,45 ,40272,"Documentary, Comedy, Reality-TV",TV-PG,Documentary
38,39,Firefly,2002,2003,9.0,44 ,268401,"Adventure, Drama, Sci-Fi",TV-14,Adventure
39,40,Arcane,2021,,9.0,41 ,216135,"Animation, Action, Adventure",TV-14,Animation
40,41,Hunter x Hunter,2011,2014,9.0,24 ,105028,"Animation, Action, Adventure",TV-14,Animation
41,42,Taskmaster,2015,,9.0,47 ,14178,"Comedy, Game-Show",TV-14,Comedy
42,43,Batman: The Animated Series,1992,1995,9.0,23 ,106216,"Animation, Action, Adventure",TV-PG,Animation
43,44,Only Fools and Horses,1981,2003,9.0,95 ,52961,Comedy,TV-PG,Comedy
44,45,Tom and Jerry,1940,1968,9.0,8 ,7292,"Animation, Short, Adventure",TV-G,Animation
45,46,The Real Bros of Simi Valley,2017,,9.0,30 ,1616,Comedy,TV-14,Comedy
46,47,Sarabhai V/S Sarabhai,2004,2017,9.0,30 ,17046,Comedy,TV-PG,Comedy
47,48,Morning Changes Everything,2018,,9.0,30 ,3100,"Drama, Romance",,Drama
48,49,Sugar Pine 7,2016,2019,9.0,,1090,"Short, Comedy",,Short
49,50,High Stakes Poker,2006,,9.0,60 ,1214,"Game-Show, Reality-TV, Sport",,Game-Show
